2025-11-10 13:56:13 [INFO] [Worker] Running YOLO inference | req_id=76 | expId=44
2025-11-10 13:56:13 [INFO] [Receiver] Received image | req_id=81 | Queue size=5
2025-11-10 13:56:14 [INFO] [Worker] Inference done | req_id=76 | Time=0.44s
2025-11-10 13:56:14 [INFO] [Worker] Running YOLO inference | req_id=77 | expId=44
2025-11-10 13:56:14 [INFO] [Receiver] Received image | req_id=82 | Queue size=5
2025-11-10 13:56:14 [INFO] [Worker] Inference done | req_id=77 | Time=0.43s
2025-11-10 13:56:14 [INFO] [Worker] Running YOLO inference | req_id=78 | expId=44
2025-11-10 13:56:14 [INFO] [Receiver] Received image | req_id=83 | Queue size=5
2025-11-10 13:56:14 [INFO] [Worker] Inference done | req_id=78 | Time=0.45s
2025-11-10 13:56:14 [INFO] [Worker] Running YOLO inference | req_id=79 | expId=44
2025-11-10 13:56:14 [INFO] [Receiver] Received image | req_id=84 | Queue size=5
2025-11-10 13:56:15 [INFO] [Worker] Inference done | req_id=79 | Time=0.44s
2025-11-10 13:56:15 [INFO] [Worker] Running YOLO inference | req_id=80 | expId=44
2025-11-10 13:56:15 [INFO] [Receiver] Received image | req_id=85 | Queue size=5
2025-11-10 13:56:15 [INFO] [Worker] Inference done | req_id=80 | Time=0.44s
2025-11-10 13:56:15 [INFO] [Worker] Running YOLO inference | req_id=81 | expId=44
2025-11-10 13:56:15 [INFO] [Receiver] Received image | req_id=86 | Queue size=5
2025-11-10 13:56:16 [INFO] [Worker] Inference done | req_id=81 | Time=0.44s
2025-11-10 13:56:16 [INFO] [Worker] Running YOLO inference | req_id=82 | expId=44
2025-11-10 13:56:16 [INFO] [Receiver] Received image | req_id=87 | Queue size=5
2025-11-10 13:56:16 [INFO] [Worker] Inference done | req_id=82 | Time=0.44s
2025-11-10 13:56:16 [INFO] [Worker] Running YOLO inference | req_id=83 | expId=44
2025-11-10 13:56:16 [INFO] [Receiver] Received image | req_id=88 | Queue size=5
2025-11-10 13:56:17 [INFO] [Worker] Inference done | req_id=83 | Time=0.44s
2025-11-10 13:56:17 [INFO] [Worker] Running YOLO inference | req_id=84 | expId=44
2025-11-10 13:56:17 [INFO] [Receiver] Received image | req_id=89 | Queue size=5
2025-11-10 13:56:17 [INFO] [Worker] Inference done | req_id=84 | Time=0.43s
2025-11-10 13:56:17 [INFO] [Worker] Running YOLO inference | req_id=85 | expId=44
2025-11-10 13:56:17 [INFO] [Receiver] Received image | req_id=90 | Queue size=5
2025-11-10 13:56:17 [INFO] [Worker] Inference done | req_id=85 | Time=0.44s
2025-11-10 13:56:17 [INFO] [Worker] Running YOLO inference | req_id=86 | expId=44
2025-11-10 13:56:17 [INFO] [Receiver] Received image | req_id=91 | Queue size=5
2025-11-10 13:56:18 [INFO] [Worker] Inference done | req_id=86 | Time=0.43s
2025-11-10 13:56:18 [INFO] [Worker] Running YOLO inference | req_id=87 | expId=44
2025-11-10 13:56:18 [INFO] [Receiver] Received image | req_id=92 | Queue size=5
2025-11-10 13:56:18 [INFO] [Worker] Inference done | req_id=87 | Time=0.43s
2025-11-10 13:56:18 [INFO] [Worker] Running YOLO inference | req_id=88 | expId=44
2025-11-10 13:56:18 [INFO] [Receiver] Received image | req_id=93 | Queue size=5
2025-11-10 13:56:19 [INFO] [Worker] Inference done | req_id=88 | Time=0.44s
2025-11-10 13:56:19 [INFO] [Worker] Running YOLO inference | req_id=89 | expId=44
2025-11-10 13:56:19 [INFO] [Receiver] Received image | req_id=94 | Queue size=5
2025-11-10 13:56:19 [INFO] [Worker] Inference done | req_id=89 | Time=0.43s
2025-11-10 13:56:19 [INFO] [Worker] Running YOLO inference | req_id=90 | expId=44
2025-11-10 13:56:19 [INFO] [Receiver] Received image | req_id=95 | Queue size=5
2025-11-10 13:56:20 [INFO] [Worker] Inference done | req_id=90 | Time=0.44s
2025-11-10 13:56:20 [INFO] [Worker] Running YOLO inference | req_id=91 | expId=44
2025-11-10 13:56:20 [INFO] [Receiver] Received image | req_id=96 | Queue size=5
