2025-12-22 16:34:43 [INFO] === Starting network test ===
2025-12-22 16:35:05 [INFO] Ping to 8.8.8.8: 14.56 ms
2025-12-22 16:35:05 [INFO] Download Speed: 52.50 Mbps
2025-12-22 16:35:05 [INFO] Upload Speed: 21.17 Mbps
2025-12-22 16:35:05 [INFO] Initializing YOLO model...
2025-12-22 16:39:03 [INFO] Running iteration 56/60 | FPS=20
2025-12-22 16:39:03 [INFO] Running iteration 57/60 | FPS=20
2025-12-22 16:39:04 [INFO] Running iteration 58/60 | FPS=20
2025-12-22 16:39:05 [INFO] Running iteration 59/60 | FPS=20
2025-12-22 16:39:05 [INFO] Running iteration 60/60 | FPS=20
2025-12-22 16:39:06 [INFO] === Starting FPS=40 experiment ===
2025-12-22 16:39:06 [INFO] Running iteration 1/60 | FPS=40
2025-12-22 16:39:06 [INFO] Running iteration 2/60 | FPS=40
2025-12-22 16:39:07 [INFO] Running iteration 3/60 | FPS=40
2025-12-22 16:39:08 [INFO] Running iteration 4/60 | FPS=40
2025-12-22 16:39:09 [INFO] Running iteration 5/60 | FPS=40
2025-12-22 16:39:09 [INFO] Running iteration 6/60 | FPS=40
2025-12-22 16:39:10 [INFO] Running iteration 7/60 | FPS=40
2025-12-22 16:39:11 [INFO] Running iteration 8/60 | FPS=40
2025-12-22 16:39:12 [INFO] Running iteration 9/60 | FPS=40
2025-12-22 16:39:13 [INFO] Running iteration 10/60 | FPS=40
2025-12-22 16:39:13 [INFO] Running iteration 11/60 | FPS=40
2025-12-22 16:39:14 [INFO] Running iteration 12/60 | FPS=40
2025-12-22 16:39:15 [INFO] Running iteration 13/60 | FPS=40
2025-12-22 16:39:16 [INFO] Running iteration 14/60 | FPS=40
2025-12-22 16:39:17 [INFO] Running iteration 15/60 | FPS=40
2025-12-22 16:39:17 [INFO] Running iteration 16/60 | FPS=40
2025-12-22 16:39:18 [INFO] Running iteration 17/60 | FPS=40
2025-12-22 16:39:19 [INFO] Running iteration 18/60 | FPS=40
2025-12-22 16:39:20 [INFO] Running iteration 19/60 | FPS=40
2025-12-22 16:39:20 [INFO] Running iteration 20/60 | FPS=40
2025-12-22 16:39:21 [INFO] Running iteration 21/60 | FPS=40
2025-12-22 16:39:22 [INFO] Running iteration 22/60 | FPS=40
2025-12-22 16:39:23 [INFO] Running iteration 23/60 | FPS=40
2025-12-22 16:39:24 [INFO] Running iteration 24/60 | FPS=40
2025-12-22 16:39:24 [INFO] Running iteration 25/60 | FPS=40
2025-12-22 16:39:25 [INFO] Running iteration 26/60 | FPS=40
2025-12-22 16:39:26 [INFO] Running iteration 27/60 | FPS=40
2025-12-22 16:39:27 [INFO] Running iteration 28/60 | FPS=40
2025-12-22 16:39:28 [INFO] Running iteration 29/60 | FPS=40
2025-12-22 16:39:28 [INFO] Running iteration 30/60 | FPS=40
2025-12-22 16:39:29 [INFO] Running iteration 31/60 | FPS=40
2025-12-22 16:39:30 [INFO] Running iteration 32/60 | FPS=40
2025-12-22 16:39:31 [INFO] Running iteration 33/60 | FPS=40
2025-12-22 16:39:31 [INFO] Running iteration 34/60 | FPS=40
2025-12-22 16:39:32 [INFO] Running iteration 35/60 | FPS=40
2025-12-22 16:39:33 [INFO] Running iteration 36/60 | FPS=40
2025-12-22 16:39:34 [INFO] Running iteration 37/60 | FPS=40
2025-12-22 16:39:34 [INFO] Running iteration 38/60 | FPS=40
2025-12-22 16:39:35 [INFO] Running iteration 39/60 | FPS=40
2025-12-22 16:39:36 [INFO] Running iteration 40/60 | FPS=40
2025-12-22 16:39:37 [INFO] Running iteration 41/60 | FPS=40
2025-12-22 16:39:38 [INFO] Running iteration 42/60 | FPS=40
2025-12-22 16:39:38 [INFO] Running iteration 43/60 | FPS=40
2025-12-22 16:39:39 [INFO] Running iteration 44/60 | FPS=40
2025-12-22 16:39:40 [INFO] Running iteration 45/60 | FPS=40
2025-12-22 16:39:40 [INFO] Running iteration 46/60 | FPS=40
2025-12-22 16:39:41 [INFO] Running iteration 47/60 | FPS=40
2025-12-22 16:39:42 [INFO] Running iteration 48/60 | FPS=40
2025-12-22 16:39:42 [INFO] Running iteration 49/60 | FPS=40
2025-12-22 16:39:43 [INFO] Running iteration 50/60 | FPS=40
2025-12-22 16:39:44 [INFO] Running iteration 51/60 | FPS=40
2025-12-22 16:39:44 [INFO] Running iteration 52/60 | FPS=40
2025-12-22 16:39:45 [INFO] Running iteration 53/60 | FPS=40
2025-12-22 16:39:45 [INFO] Running iteration 54/60 | FPS=40
2025-12-22 16:39:46 [INFO] Running iteration 55/60 | FPS=40
2025-12-22 16:39:47 [INFO] Running iteration 56/60 | FPS=40
2025-12-22 16:39:47 [INFO] Running iteration 57/60 | FPS=40
2025-12-22 16:39:48 [INFO] Running iteration 58/60 | FPS=40
2025-12-22 16:39:48 [INFO] Running iteration 59/60 | FPS=40
2025-12-22 16:39:49 [INFO] Running iteration 60/60 | FPS=40
2025-12-22 16:39:50 [INFO] === Starting FPS=60 experiment ===
2025-12-22 16:39:50 [INFO] Running iteration 1/60 | FPS=60
2025-12-22 16:39:50 [INFO] Running iteration 2/60 | FPS=60
2025-12-22 16:39:51 [INFO] Running iteration 3/60 | FPS=60
2025-12-22 16:39:51 [INFO] Running iteration 4/60 | FPS=60
2025-12-22 16:39:52 [INFO] Running iteration 5/60 | FPS=60
2025-12-22 16:39:53 [INFO] Running iteration 6/60 | FPS=60
2025-12-22 16:39:53 [INFO] Running iteration 7/60 | FPS=60
2025-12-22 16:39:54 [INFO] Running iteration 8/60 | FPS=60
2025-12-22 16:39:54 [INFO] Running iteration 9/60 | FPS=60
2025-12-22 16:39:55 [INFO] Running iteration 10/60 | FPS=60
2025-12-22 16:39:56 [INFO] Running iteration 11/60 | FPS=60
2025-12-22 16:39:56 [INFO] Running iteration 12/60 | FPS=60
2025-12-22 16:39:57 [INFO] Running iteration 13/60 | FPS=60
2025-12-22 16:39:57 [INFO] Running iteration 14/60 | FPS=60
2025-12-22 16:39:58 [INFO] Running iteration 15/60 | FPS=60
2025-12-22 16:39:58 [INFO] Running iteration 16/60 | FPS=60
2025-12-22 16:39:59 [INFO] Running iteration 17/60 | FPS=60
2025-12-22 16:40:00 [INFO] Running iteration 18/60 | FPS=60
2025-12-22 16:40:00 [INFO] Running iteration 19/60 | FPS=60
2025-12-22 16:40:01 [INFO] Running iteration 20/60 | FPS=60
2025-12-22 16:40:01 [INFO] Running iteration 21/60 | FPS=60
2025-12-22 16:40:02 [INFO] Running iteration 22/60 | FPS=60
2025-12-22 16:40:03 [INFO] Running iteration 23/60 | FPS=60
2025-12-22 16:40:03 [INFO] Running iteration 24/60 | FPS=60
2025-12-22 16:40:04 [INFO] Running iteration 25/60 | FPS=60
2025-12-22 16:40:04 [INFO] Running iteration 26/60 | FPS=60
2025-12-22 16:40:05 [INFO] Running iteration 27/60 | FPS=60
2025-12-22 16:40:05 [INFO] Running iteration 28/60 | FPS=60
2025-12-22 16:40:06 [INFO] Running iteration 29/60 | FPS=60
2025-12-22 16:40:07 [INFO] Running iteration 30/60 | FPS=60
2025-12-22 16:40:07 [INFO] Running iteration 31/60 | FPS=60
2025-12-22 16:40:08 [INFO] Running iteration 32/60 | FPS=60
2025-12-22 16:40:08 [INFO] Running iteration 33/60 | FPS=60
2025-12-22 16:40:09 [INFO] Running iteration 34/60 | FPS=60
2025-12-22 16:40:10 [INFO] Running iteration 35/60 | FPS=60
2025-12-22 16:40:10 [INFO] Running iteration 36/60 | FPS=60
2025-12-22 16:40:11 [INFO] Running iteration 37/60 | FPS=60
2025-12-22 16:40:11 [INFO] Running iteration 38/60 | FPS=60
2025-12-22 16:40:12 [INFO] Running iteration 39/60 | FPS=60
2025-12-22 16:40:13 [INFO] Running iteration 40/60 | FPS=60
2025-12-22 16:40:13 [INFO] Running iteration 41/60 | FPS=60
2025-12-22 16:40:14 [INFO] Running iteration 42/60 | FPS=60
2025-12-22 16:40:14 [INFO] Running iteration 43/60 | FPS=60
2025-12-22 16:40:15 [INFO] Running iteration 44/60 | FPS=60
2025-12-22 16:40:16 [INFO] Running iteration 45/60 | FPS=60
2025-12-22 16:40:16 [INFO] Running iteration 46/60 | FPS=60
2025-12-22 16:40:17 [INFO] Running iteration 47/60 | FPS=60
2025-12-22 16:40:17 [INFO] Running iteration 48/60 | FPS=60
2025-12-22 16:40:18 [INFO] Running iteration 49/60 | FPS=60
2025-12-22 16:40:18 [INFO] Running iteration 50/60 | FPS=60
2025-12-22 16:40:19 [INFO] Running iteration 51/60 | FPS=60
2025-12-22 16:40:20 [INFO] Running iteration 52/60 | FPS=60
2025-12-22 16:40:20 [INFO] Running iteration 53/60 | FPS=60
2025-12-22 16:40:21 [INFO] Running iteration 54/60 | FPS=60
2025-12-22 16:40:21 [INFO] Running iteration 55/60 | FPS=60
2025-12-22 16:40:22 [INFO] Running iteration 56/60 | FPS=60
2025-12-22 16:40:23 [INFO] Running iteration 57/60 | FPS=60
2025-12-22 16:40:23 [INFO] Running iteration 58/60 | FPS=60
2025-12-22 16:40:24 [INFO] Running iteration 59/60 | FPS=60
2025-12-22 16:40:24 [INFO] Running iteration 60/60 | FPS=60
2025-12-22 16:40:25 [INFO] All experiments completed.
